name,brand,model,image_url,price,retail_price,colorway,sku,description,release_date,category,style_code,availability,rating,reviews_count,sizes,colors,gender,age_group,discount,is_featured,is_new,is_sale,url,main_color,series,occasion,inventory_count
ASICS Gel-NYC 'Graphite Grey Black',ASICS,1201A789-020,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_ec9d8f75-11a9-4b3a-aa2f-94396a8f60cd_x480.jpg?v=1706073185,135,188,"Black, Silver",1201A789-020,ASICS Gel-NYC 'Graphite Grey Black',20230525,Sneakers,1201A789-020,in_stock,0,0,"4.5, 5, 8, 4, 8.5, 9.5, 9, 11.5, 10.5, 10, 11, 13, 6, 12, 5.5, 6.5, 7, 7.5","Black, Silver",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/asics-gel-nyc-graphite-grey-black-1201a789-020,black,Gel-NYC,lifestyle,1
ASICS Gel-Kayano 14 'Cream Black',ASICS,1201A019-108,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/Capture-2024-08-15-181814-square_x480.png?v=1723717126,144,556,"Cream White, Black",1201A019-108,ASICS Gel-Kayano 14 'Cream Black',20230531,Sneakers,1201A019-108,in_stock,0,0,"4, 7.5, 8, 6.5, 7, 4.5, 10.5, 9.5, 11, 5, 5.5, 6, 8.5, 9, 11.5, 10, 12, 12.5, 13","Cream White, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/asics-gel-kayano-14-silver-cream-1201a019-108,white,Gel-Kayano,lifestyle,1
ASICS Gel-1130 'Steel Grey Pure Silver',ASICS,1201A934-020,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/7KuN3qIr22-square_x480.png?v=1724170809,80,423,"Steel Grey, Pure Silver",1201A934-020,ASICS Gel-1130 'Steel Grey Pure Silver',20230823,Sneakers,1201A934-020,in_stock,0,0,"4, 4.5, 5, 5.5, 6, 9, 8.5, 9.5, 7.5, 6.5, 7, 10, 8, 11.5, 10.5, 11, 12","Steel Grey, Pure Silver",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/asics-gel-1130-steel-grey-pure-silver-1201a934-020,Grey,Gel-1130,lifestyle,1
ASICS Court Mz Shoes 'White Black',ASICS,1203A127-750,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_470b48f4-24d8-420e-a188-10b7bdc2043d_x480.jpg?v=1695130814,70,84,"Cream white, Black",1203A127-750,ASICS Court Mz Shoes 'White Black',20210722,Sneakers,1203A127-750,in_stock,0,0,"4.5, 7, 6, 8.5, 8, 5, 7.5, 5.5, 4, 9, 6.5, 9.5, 11, 10","Cream white, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/asics-court-mz-shoes-white-black-1203a127-750,white,Court MZ,lifestyle,1
ASICS Gel-1130 'White Black',ASICS,1201A933-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_9ae8ae08-589b-48b9-90f0-cdc968c563c8_x480.jpg?v=1697010389,86,352,"White, Black",1201A933-100,ASICS Gel-1130 'White Black',20230609,Sneakers,1201A933-100,in_stock,0,0,"4, 6, 7, 5, 4.5, 7.5, 5.5, 6.5, 9.5, 8, 8.5, 10, 9, 12.5, 12, 11.5, 11, 10.5, 13, 14","White, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/asics-gel-1130-white-black-1201a933-100,silver,Gel-1130,lifestyle,1
PUMA Speedcat Faded 'Cast Iron',PUMA,403688-03,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_776fab3e-7bba-4e1b-b1e1-42c59cfefb1a_x480.jpg?v=1752734391,103,747,Cast Iron,403688-03,PUMA Speedcat Faded 'Cast Iron',20250717,Sneakers,403688-03,in_stock,0,0,"5.5, 6.5, 6, 9, 8, 4.5, 5, 7, 7.5, 10, 4, 8.5, 10.5, 9.5, 11.5, 11, 12",Cast Iron,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-speedcat-faded-cast-iron-403688-03,grey,Speedcat,lifestyle,1
PUMA King Top FG 'Black',PUMA,105607-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_5f33f158-674b-471c-a8cf-b73d1f774f94_x480.jpg?v=1699843206,86,296,"Black, White",105607-01,PUMA King Top FG 'Black',20220208,Sneakers,105607-01,in_stock,0,0,"9, 8.5, 9.5, 7.5, 11.5, 10.5, 11, 7, 8","Black, White",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-king-top-fg-black-105607-01,black,,soccer,1
PUMA Future Z 1.2 FG AG,PUMA,106476-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_045b7c92-a98a-4ccc-81d9-37329c573c1d_x480.jpg?v=1706173853,189,270,Blue,106476-01,PUMA Future Z 1.2 FG AG,20220610,Sneakers,106476-01,in_stock,0,0,"12, 11, 9, 9.5",Blue,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-future-z-1-2-fg-ag-106476-01,Blue,FUTURE,soccer,1
PUMA x Lamelo Ball MB.05 'Pink',PUMA,312129-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/C3_83_C2_A6_C3_82_C2_88_C3_82_C2_AA_C3_83_C2_A5_C3_82_C2_9C_C3_82_C2_96_202025-07-14_20_C3_83_C2_A4_C3_82_C2_B8_C3_82_C2_AD_C3_83_C2_A5_C3_82_C2_8D_C3_82_C2_8812_06_49-Photoroom-squa_x480.jpg?v=1752466405,125,323,Pink,312129-01,PUMA x Lamelo Ball MB.05 'Pink',20250829,Sneakers,312129-01,in_stock,0,0,"12, 11, 8, 13, 10, 9.5, 9, 10.5, 8.5, 11.5, 14, 7.5, 7",Pink,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-x-lamelo-ball-mb-05-pink-312129-01,pink,MB,basketball,1
PUMA Speedcat OG 'Black White',PUMA,398846-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_400cde89-967f-46d0-8afe-531684a2e4b0_x480.jpg?v=1718158737,82,107,"Black, White",398846-01,PUMA Speedcat OG 'Black White',20240620,Sneakers,398846-01,in_stock,0,0,"9, 6, 7.5, 8, 9.5, 6.5, 10, 5.5, 5, 8.5, 7, 12, 10.5, 11, 4.5, 4, 11.5, 13","Black, White",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-speedcat-og-black-white-398846-01,black,Speedcat,lifestyle,1
(WMNS) PUMA Speedcat Ballet 'Dark Chocolate',PUMA,406758-02,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/5104581_17479775561911_big-Photoroom-square_x480.jpg?v=1750750236,82,748,"dark chocolate, warm white",406758-02,(WMNS) PUMA Speedcat Ballet 'Dark Chocolate',20250624,Sneakers,406758-02,in_stock,0,0,"6.5, 8.5, 7, 6, 9, 7.5, 8, 5.5, 9.5","dark chocolate, warm white",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-puma-speedcat-ballet-dark-chocolate-406758-02,brown,Speedcat,lifestyle,1
PUMA Speedcat Metallic 'PUMA Silver PUMA Black',PUMA,403689-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_b23b2f26-7ca7-4029-abc0-cc3c28e393c5_x480.jpg?v=1754904563,101,132,"PUMA Silver, PUMA Black",403689-01,PUMA Speedcat Metallic 'PUMA Silver PUMA Black',20250811,Sneakers,403689-01,in_stock,0,0,"7, 5.5, 6.5, 6, 5, 8.5, 7.5, 4.5, 9, 8, 10, 9.5, 11, 10.5, 4, 12, 11.5","PUMA Silver, PUMA Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-speedcat-metallic-puma-silver-puma-black-403689-01,silver,Speedcat,lifestyle,1
PUMA Clyde Hardwood 'Black',PUMA,193663-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_92a83517-6cc8-429c-9dd1-a161b558e9a0_x480.jpg?v=1695385901,54,111,"Puma White, Black",193663-01,PUMA Clyde Hardwood 'Black',20191017,Sneakers,193663-01,in_stock,0,0,"10, 9.5, 9, 10.5, 8.5, 11.5, 8, 12, 7.5, 11, 13, 7, 6, 6.5, 5.5, 14","Puma White, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-clyde-hardwood-black-193663-01,black,CLYDE,basketball,1
PUMA Palermo Vintage 'Black Ivory Gum',PUMA,396841-04,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_3ee26d20-4203-49df-850a-ad56353691e8_x480.jpg?v=1719805346,68,156,"Black, Ivory, Brown",396841-04,PUMA Palermo Vintage 'Black Ivory Gum',20240626,Sneakers,396841-04,in_stock,0,0,"5, 6, 4, 6.5, 7, 5.5, 4.5, 8, 8.5, 9, 7.5, 10, 11, 11.5, 9.5, 10.5, 12","Black, Ivory, Brown",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-palermo-vintage-black-ivory-gum-396841-04,black,Palermo,lifestyle,1
PUMA x Casper Suede '85th Anniversary',PUMA,398938-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_aba81ff9-08cb-44df-8765-ad258578fc45_x480.jpg?v=1740045840,74,173,Warm White,398938-01,PUMA x Casper Suede '85th Anniversary',20241002,Sneakers,398938-01,in_stock,0,0,"6, 6.5, 7.5, 10, 5, 4.5, 5.5, 10.5",Warm White,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-x-casper-suede-85th-anniversary-398938-01,beige,SUEDE,lifestyle,1
(WMNS) PUMA Speedcat Ballet 'Black Mauve Mist',PUMA,401287-02,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c42a7b4d-9070-4575-8d60-b6d103b58c06_x480.jpg?v=1742892009,70,173,"Black, Mauve Mist",401287-02,(WMNS) PUMA Speedcat Ballet 'Black Mauve Mist',20250410,Sneakers,401287-02,in_stock,0,0,"8, 7.5, 7, 8.5, 9, 6.5, 5.5, 9.5, 10, 6, 11, 10.5","Black, Mauve Mist",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-puma-speedcat-ballet-black-mauve-mist-401287-02,black,Speedcat,lifestyle,1
PUMA Deviate Nitro 3 'Nitro Blue Fizzy Apple',PUMA,310195-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_d077bc02-232f-400e-9daf-fba4c8f5781d_x480.jpg?v=1725860725,127,206,"Nitro Blue, Fizzy Apple",310195-01,PUMA Deviate Nitro 3 'Nitro Blue Fizzy Apple',20240903,Sneakers,310195-01,in_stock,0,0,"7, 8.5, 7.5, 9, 9.5, 8, 12, 11, 11.5","Nitro Blue, Fizzy Apple",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-deviate-nitro-3-nitro-blue-fizzy-apple-310195-01,blue,Deviate Nitro,running,1
PUMA MB.03 'Miami',PUMA,310511-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_42cb1153-a056-4b06-9186-5aea4732987c_x480.jpg?v=1719908844,95,170,"Teal, Pink",310511-01,PUMA MB.03 'Miami',20240705,Sneakers,310511-01,in_stock,0,0,"11, 12, 11.5, 10, 9.5, 9, 10.5, 8.5, 13","Teal, Pink",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-mb-03-miami-310511-01,green,MB,basketball,1
PUMA LaMelo Ball La Franc 'Moment',PUMA,310864-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_e2129160-6812-41d6-b63a-097564fd5297_x480.jpg?v=1720507988,109,363,Alpine Snow,310864-01,PUMA LaMelo Ball La Franc 'Moment',20240703,Sneakers,310864-01,in_stock,0,0,"9, 8, 11, 8.5, 13, 10, 10.5",Alpine Snow,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-lamelo-ball-la-france-moment-310864-01,beige,,lifestyle,1
PUMA MB.03 'Iridescent',PUMA,379904-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_7108d153-85c8-4493-99b1-7a450c0ca5a7_x480.jpg?v=1715747928,85,139,"White, Light Blue",379904-01,PUMA MB.03 'Iridescent',20240329,Sneakers,379904-01,in_stock,0,0,"12, 13, 10.5, 11.5, 11, 9, 10, 9.5, 7.5, 8, 8.5","White, Light Blue",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-mb-03-iridescent-379904-01,white,MB,basketball,1
PUMA Slipstream Reclaim Suede 'Frosted Ivory',PUMA,393532-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_38ffce1e-7840-4f4b-bcc8-5f175a5faa31_x480.jpg?v=1706070627,74,96,"Frosted Ivory, PUMA White",393532-01,PUMA Slipstream Reclaim Suede 'Frosted Ivory',20230628,Sneakers,393532-01,in_stock,0,0,"11, 10, 8.5, 5.5, 9","Frosted Ivory, PUMA White",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-slipstream-reclaim-suede-frosted-ivory-393532-01,beige,SUEDE,lifestyle,1
PUMA Suede XL 'Black Shadow Grey',PUMA,399099-02,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_bcd5003d-57ce-45f3-a581-4c0ebf56692e_x480.jpg?v=1727402434,73,117,"Black, Shadow Grey, Pebble Gray",399099-02,PUMA Suede XL 'Black Shadow Grey',20240601,Sneakers,399099-02,in_stock,0,0,"9, 6, 7.5, 6.5, 8.5, 7, 5, 10, 9.5, 8, 10.5, 4.5, 4, 11.5, 11, 5.5","Black, Shadow Grey, Pebble Gray",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-suede-xl-black-shadow-grey-399099-02,black,SUEDE,lifestyle,1
PUMA x Harry Potter Easy Rider 'Hogwarts',PUMA,401208-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_76f84cb5-5c43-4bec-b30b-1c33f2f111c0_x480.jpg?v=1743499443,102,364,"Black, Chocolate",401208-01,PUMA x Harry Potter Easy Rider 'Hogwarts',20250328,Sneakers,401208-01,in_stock,0,0,"11.5, 4.5, 8.5, 9, 5, 10, 6, 8, 4, 9.5, 5.5, 10.5, 7, 6.5, 7.5, 11","Black, Chocolate",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/puma-x-harry-potter-easy-rider-hogwarts-401208-01,black,Easy Rider,lifestyle,1
(WMNS) PUMA Speedcat Ballet 'SIilver',PUMA,401581-01,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_5f7f3309-0b23-44a8-891c-c5fdee314a55_x480.jpg?v=1740644065,56,89,"Silver, White",401581-01,(WMNS) PUMA Speedcat Ballet 'SIilver',20250301,Sneakers,401581-01,in_stock,0,0,"9.5, 9, 8, 8.5, 6.5, 7.5, 5.5, 7, 6, 10, 11","Silver, White",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-puma-speedcat-ballet-siilver-401581-01,silver,Speedcat,lifestyle,1
